Clustering results for file  I01_ann.txt
-,"purity_mean","purity_sd","accuracy_mean","accuracy_sd","specificity_mean","specificity_sd","sensitivities_mean","sensitivities_sd","clusters_mean","clusters_sd"
"KMeans_5",0.998474945533769,0.00341012545588205,0.716993332156826,0.0674938659497429,0.998702413381661,0.0029014918853001,0.548000673567498,0.108223337449248,5,0
"KMeans_6",1,0,0.65292864640172,0.100020424311646,1,0,0.44472623237319,0.160021036802259,6,0
"KMeans_7",0.999709513435004,0.00039776511075176,0.6161226902137,0.107452602690082,0.999850289290619,0.000204999831570354,0.385930795581971,0.171873842802636,7,0
"KMeans_8",0.999854756717502,0.00032477385294115,0.578223215131258,0.0748730439411464,0.999924581823094,0.000168640170301554,0.325251479970441,0.119881030810819,8,0
"KMeans_9",0.999491648511256,0.000324773852941156,0.529883317360793,0.0254464937011271,0.999781906391409,0.000158670079027942,0.247998858817973,0.0407036836596692,9,0
"KMeans_10",0.999636891793755,0.000363108206245466,0.504275127602264,0.0125495475477626,0.999813565141043,0.000186434858956752,0.207009744360877,0.0199894024866598,10,0
"KMENOIDS_5",0.999273783587509,0,0.71136867656885,0,0.999531450505414,0,0.538504553544185,0,6,0
"KMENOIDS_6",0.999273783587509,0,0.583300029729237,0,0.999541299894189,0,0.333603716944654,0,7,0
"KMENOIDS_7",0.999273783587509,0,0.578793689382494,0,0.999627130282086,0,0.326342608672899,0,8,0
"KMENOIDS_8",0.999273783587509,0,0.525630585607937,0,0.999627130282086,0,0.24128783066952,0,9,0
"KMENOIDS_9",0.999273783587509,0,0.51804844309278,0,0.999627130282086,0,0.229157285185356,0,10,0
"KMENOIDS_10",0.999273783587509,0,0.513347688835392,0,0.999765021724938,0,0.22155390671259,0,11,0
"DB_0.04_3",0.9920116194626,0,0.70406536105987,0,1,0,0.526556007491693,0,11,0
"DB_0.05_3",0.995642701525055,0,0.705060644214366,0,1,0,0.52813534372121,0,9,0
"DB_0.06_3",0.997821350762527,0,0.705402253460343,0,1,0,0.528678890456041,0,9,0
"DB_0.07_3",0.997821350762527,0,0.705402253460343,0,1,0,0.528678890456041,0,9,0
"DB_0.08_3",0.999636891793755,0,0.705413068888208,0,1,0,0.528695199312252,0,9,0
"DB_0.09_3",0.999636891793755,0,0.705413068888208,0,1,0,0.528695199312252,0,9,0
"DB_0.1_3",0.999636891793755,0,0.705413068888208,0,1,0,0.528695199312252,0,9,0
"DB_0.04_4",0.987291212781409,0,0.703859076557666,0,1,0,0.526248180653079,0,8,0
"DB_0.05_4",0.995642701525055,0,0.705060644214366,0,1,0,0.52813534372121,0,9,0
"DB_0.06_4",0.997458242556282,0,0.705400670714802,0,1,0,0.528676557167209,0,9,0
"DB_0.07_4",0.997821350762527,0,0.705402253460343,0,1,0,0.528678890456041,0,9,0
"DB_0.08_4",0.998910675381264,0,0.705408320651585,0,1,0,0.528688000506441,0,9,0
"DB_0.09_4",0.999636891793755,0,0.705413068888208,0,1,0,0.528695199312252,0,9,0
"DB_0.1_4",0.999636891793755,0,0.705413068888208,0,1,0,0.528695199312252,0,9,0
"DB_0.04_5",0.9840232389252,0,0.703490296846564,0,1,0,0.525687047880993,0,7,0
"DB_0.05_5",0.995279593318809,0,0.704972538045905,0,1,0,0.527994783698636,0,9,0
"DB_0.06_5",0.997458242556282,0,0.705400670714802,0,1,0,0.528676557167209,0,9,0
"DB_0.07_5",0.997821350762527,0,0.705402253460343,0,1,0,0.528678890456041,0,9,0
"DB_0.08_5",0.998547567175018,0,0.705406210324196,0,1,0,0.528684823142332,0,9,0
"DB_0.09_5",0.999636891793755,0,0.705413068888208,0,1,0,0.528695199312252,0,9,0
"DB_0.1_5",0.999636891793755,0,0.705413068888208,0,1,0,0.528695199312252,0,9,0
"DB_0.04_6",0.983660130718954,0,0.703465236708828,0,1,0,0.525653765833828,0,7,0
"DB_0.05_6",0.991285403050109,0,0.704960139872499,0,1,0,0.527979330808768,0,7,0
"DB_0.06_6",0.995642701525055,0,0.705396713850949,0,1,0,0.528671221244794,0,8,0
"DB_0.07_6",0.997821350762527,0,0.705402253460343,0,1,0,0.528678890456041,0,9,0
"DB_0.08_6",0.998547567175018,0,0.705406210324196,0,1,0,0.528684823142332,0,9,0
"DB_0.09_6",0.998910675381264,0,0.705408584442508,0,1,0,0.528688422540858,0,9,0
"DB_0.1_6",0.999636891793755,0,0.705413068888208,0,1,0,0.528695199312252,0,9,0
"HDB_3",0.9920116194626,0,0.695108604042174,0,1,0,0.512209254969354,0,11,0
"HDB_4",0.999636891793755,0,0.705413068888208,0,1,0,0.528695199312252,0,9,0
"HDB_5",0.999636891793755,0,0.705413068888208,0,1,0,0.528695199312252,0,9,0
"HDB_6",0.999636891793755,0,0.705413068888208,0,1,0,0.528695199312252,0,9,0
"HDB_7",0.999636891793755,0,0.705413068888208,0,1,0,0.528695199312252,0,9,0
"HDB_8",0.999636891793755,0,0.705413068888208,0,1,0,0.528695199312252,0,9,0
"HDB_9",0.999636891793755,0,0.705413068888208,0,1,0,0.528695199312252,0,9,0
"HDB_10",0.994553376906318,0,0.705745445451862,0,1,0,0.529229744666251,0,7,0
"MM",0.9960058097313,0.00162386926470575,0.526205702579427,0.00460355660158708,0.999208390553592,0.000566014302933727,0.242459145978874,0.00741605211436683,8.8,0.447213595499958
Clustering results for file  I02_ann.txt
-,"purity_mean","purity_sd","accuracy_mean","accuracy_sd","specificity_mean","specificity_sd","sensitivities_mean","sensitivities_sd","clusters_mean","clusters_sd"
"KMeans_5",0.945713216023961,0.0287087824974629,0.569015686587946,0.0380136660179979,0.957274963303844,0.0368013782680893,0.415946948295311,0.0459558548499988,5,0
"KMeans_6",0.928640958442531,0.0370747899883998,0.513159262266233,0.0381079338688361,0.930747609790931,0.0940410543372169,0.348527725263489,0.0298694848825469,6,0
"KMeans_7",0.951778360164732,0.0229181495305744,0.500660527765976,0.0222806270007896,0.961718768596025,0.0327100841591185,0.318891263164686,0.0333745841387766,7,0
"KMeans_8",0.945338824410333,0.0287087824974629,0.492421163923231,0.0286045480038025,0.975599436664419,0.0166974508775061,0.301931218120786,0.035325767629108,8,0
"KMeans_9",0.945338824410333,0.0287087824974629,0.434607078104821,0.0327854972312132,0.975629190304281,0.016587876471005,0.221312568303874,0.0399170844409519,9,0
"KMeans_10",0.96855110445526,0.0187849849558998,0.434439597451893,0.0322184902070386,0.986119331931606,0.0108087270721113,0.216943388184969,0.0410974450955903,10,0
"KMENOIDS_5",0.913515537251966,0,0.535504524249219,0,0.954551315110882,0,0.370298005282492,0,6,0
"KMENOIDS_6",0.965930363159865,0,0.54511615254425,0,0.986067362240647,0,0.371273956453653,0,7,0
"KMENOIDS_7",0.96518157993261,0,0.464925955995664,0,0.985470305867418,0,0.259704673109143,0,8,0
"KMENOIDS_8",0.966679146387121,0,0.462338587435866,0,0.987501487681993,0,0.255296470583635,0,9,0
"KMENOIDS_9",0.966679146387121,0,0.448401123455284,0,0.987501487681993,0,0.235864250509774,0,10,0
"KMENOIDS_10",0.966679146387121,0,0.444164749136586,0,0.987508430197961,0,0.229954975650096,0,11,0
"DB_0.04_3",0.980157244477724,0,0.733234056456012,0,0.999866019324976,0,0.62821376316025,0,12,0
"DB_0.05_3",0.986147510295769,0,0.735541262302691,0,0.999865074010873,0,0.631379394602836,0,10,0
"DB_0.06_3",0.990265818045676,0,0.73643054755124,0,0.999728213699418,0,0.632646502244256,0,9,0
"DB_0.07_3",0.992886559341071,0,0.736623492442758,0,0.999728230682558,0,0.632906457948285,0,9,0
