i-1	i+0	i+1	Filter	Time
763	732	766	0	1553
732	766	732	0	2319
766	732	770	0	3051
732	770	739	0	3821
770	739	767	0	4560
739	767	739	0	5327
767	739	763	0	6066
739	763	724	0	6829
763	724	778	0	7553
724	778	708	0	8331
778	708	774	0	9039
708	774	747	0	9813
774	747	763	0	10560
747	763	739	0	11323
763	739	759	0	12062
739	759	751	0	12821
759	751	735	0	13572
751	735	697	0	14307
735	697	735	0	15004
697	735	705	0	15739
735	705	716	0	16444
705	716	704	0	17160
716	704	700	0	17864
704	700	716	0	18564
700	716	716	0	19280
716	716	708	0	19996
716	708	712	0	20704
708	712	705	0	21416
712	705	723	0	22121
705	723	701	0	22844
723	701	720	0	23545
701	720	731	0	24265
720	731	704	0	24996
731	704	716	0	25700
704	716	685	0	26416
716	685	716	0	27101
685	716	704	0	27817
716	704	724	0	28521
704	724	716	0	29245
724	716	677	0	29961
716	677	701	0	30638
677	701	688	0	31339
701	688	712	0	32027
688	712	724	0	32739
712	724	716	0	33463
724	716	693	0	34179
716	693	716	0	34872
693	716	704	0	35588
716	704	692	0	36292
704	692	627	0	36984
692	627	728	0	37611
627	728	712	0	38339
728	712	677	0	39051
712	677	638	0	39728
677	638	735	0	40366
638	735	646	0	41101
735	646	720	0	41747
646	720	646	0	42467
720	646	716	0	43113
646	716	646	0	43829
716	646	716	0	44475
646	716	681	0	45191
716	681	696	0	45872
681	696	689	0	46568
696	689	716	0	47257
689	716	677	0	47973
716	677	716	0	48650
677	716	712	0	49366
716	712	704	0	50078
712	704	689	0	50782
704	689	708	0	51471
689	708	669	0	52179
708	669	740	0	52848
669	740	669	0	53588
740	669	735	0	54257
669	735	724	0	54992
735	724	704	0	55716
724	704	697	0	56420
704	697	720	0	57117
697	720	688	0	57837
720	688	732	0	58525
688	732	700	0	59257
732	700	743	0	59957
700	743	724	0	60700
743	724	716	0	61424
724	716	724	0	62140
716	724	727	0	62864
724	727	677	0	63591
727	677	759	0	64268
677	759	743	0	65027
759	743	728	0	65770
743	728	728	0	66498
728	728	712	0	67226
728	712	723	0	67938
712	723	724	0	68661
723	724	728	0	69385
724	728	727	0	70113
728	727	724	0	70840
727	724	720	0	71564
724	720	724	0	72284
720	724	700	0	73008
724	700	739	0	73708
700	739	720	0	74447
739	720	728	0	75167
720	728	700	0	75895
728	700	736	0	76595
700	736	723	0	77331
736	723	732	0	78054
723	732	693	0	78786
732	693	716	0	79479
693	716	727	0	80195
716	727	728	0	80922
727	728	727	0	81650
728	727	732	0	82377
727	732	716	0	83109
732	716	712	0	83825
716	712	584	0	84537
712	584	852	1	85121
584	852	731	0	85973
852	731	724	0	86704
731	724	724	0	87428
724	724	720	0	88152
724	720	700	0	88872
720	700	735	0	89572
700	735	709	0	90307
735	709	723	0	91016
709	723	724	0	91739
723	724	708	0	92463
724	708	720	0	93171
708	720	716	0	93891
720	716	658	0	94607
716	658	513	1	95265
658	513	852	1	95778
513	852	747	0	96630
852	747	728	0	97377
747	728	735	0	98105
728	735	732	0	98840
735	732	716	0	99572
732	716	716	0	100288
716	716	739	0	101004
716	739	720	0	101743
739	720	716	0	102463
720	716	728	0	103179
716	728	723	0	103907
728	723	720	0	104630
723	720	728	0	105350
720	728	731	0	106078
728	731	732	0	106809
731	732	735	0	107541
732	735	743	0	108276
735	743	732	0	109019
743	732	731	0	109751
732	731	740	0	110482
731	740	727	0	111222
740	727	724	0	111949
727	724	732	0	112673
724	732	727	0	113405
732	727	720	0	114132
727	720	716	0	114852
720	716	724	0	115568
716	724	712	0	116292
724	712	720	0	117004
712	720	712	0	117724
720	712	712	0	118436
712	712	712	0	119148
712	712	712	0	119860
712	712	716	0	120572
712	716	704	0	121288
716	704	720	0	121992
704	720	716	0	122712
720	716	712	0	123428
716	712	716	0	124140
712	716	708	0	124856
716	708	708	0	125564
708	708	701	0	126272
708	701	731	0	126973
701	731	716	0	127704
731	716	708	0	128420
716	708	709	0	129128
708	709	708	0	129837
709	708	704	0	130545
708	704	712	0	131249
704	712	704	0	131961
712	704	705	0	132665
704	705	719	0	133370
705	719	697	0	134089
719	697	704	0	134786
697	704	701	0	135490
704	701	696	0	136191
701	696	704	0	136887
696	704	705	0	137591
704	705	716	0	138296
705	716	700	0	139012
716	700	677	0	139712
700	677	736	0	140389
677	736	665	0	141125
736	665	724	0	141790
665	724	712	0	142514
724	712	661	0	143226
712	661	720	0	143887
661	720	693	0	144607
720	693	700	0	145300
693	700	689	0	146000
700	689	685	0	146689
689	685	692	0	147374
685	692	681	0	148066
692	681	681	0	148747
681	681	685	0	149428
681	685	681	0	150113
685	681	681	0	150794
681	681	688	0	151475
681	688	615	0	152163
688	615	708	0	152778
615	708	631	0	153486
708	631	712	0	154117
631	712	724	0	154829
712	724	696	0	155553
724	696	685	0	156249
696	685	696	0	156934
685	696	638	0	157630
696	638	705	0	158268
638	705	622	0	158973
705	622	720	0	159595
622	720	704	0	160315
720	704	701	0	161019
704	701	646	0	161720
701	646	712	0	162366
646	712	618	0	163078
