i-1	i+0	i+1	Filter
1070	1370	486	2
1370	486	1323	1
486	1323	510	2
1323	510	1245	1
510	1245	560	2
1245	560	1226	1
560	1226	541	2
1226	541	1268	1
541	1268	529	2
1268	529	1335	1
529	1335	498	2
1335	498	1304	1
498	1304	521	2
1304	521	1171	1
521	1171	852	2
1171	852	467	0
852	467	1327	1
467	1327	506	2
1327	506	1284	1
506	1284	549	2
1284	549	1404	1
549	1404	471	2
1404	471	1346	1
471	1346	502	2
1346	502	1210	1
502	1210	868	2
1210	868	459	0
868	459	1280	1
459	1280	569	2
1280	569	1167	1
569	1167	899	2
1167	899	459	0
899	459	642	1
459	642	759	2
642	759	926	0
759	926	467	0
926	467	1272	1
467	1272	521	2
1272	521	693	1
521	693	1265	2
693	1265	447	0
1265	447	665	1
447	665	1121	2
665	1121	459	0
1121	459	708	1
459	708	1172	2
708	1172	439	0
1172	439	1557	1
439	1557	443	2
1557	443	1428	1
443	1428	475	2
1428	475	1261	1
475	1261	638	2
1261	638	1089	1
638	1089	899	2
1089	899	459	0
899	459	673	1
459	673	720	2
673	720	977	0
720	977	444	0
977	444	821	1
444	821	1323	2
821	1323	439	0
1323	439	728	1
439	728	1198	2
728	1198	448	0
1198	448	712	1
448	712	1140	2
712	1140	436	0
1140	436	681	1
436	681	902	2
681	902	510	0
902	510	619	1
510	619	953	2
619	953	553	0
953	553	646	1
553	646	867	2
646	867	957	0
867	957	460	0
957	460	642	1
460	642	871	2
642	871	572	0
871	572	646	1
572	646	887	2
646	887	1483	0
887	1483	1334	0
1483	1334	623	0
1334	623	607	1
623	607	1206	2
607	1206	471	0
1206	471	728	1
471	728	1097	2
728	1097	471	0
1097	471	649	1
471	649	872	2
649	872	977	0
872	977	455	0
977	455	646	1
455	646	864	2
646	864	611	0
864	611	1404	1
611	1404	502	2
1404	502	623	1
502	623	879	2
623	879	1000	0
879	1000	467	0
1000	467	1381	1
467	1381	526	2
1381	526	1315	1
526	1315	568	2
1315	568	1257	1
568	1257	899	2
1257	899	906	0
899	906	957	0
906	957	973	0
957	973	455	0
973	455	1347	1
455	1347	545	2
1347	545	1295	1
545	1295	557	2
1295	557	1299	1
557	1299	561	2
1299	561	1295	1
561	1295	553	2
1295	553	1307	1
553	1307	545	2
1307	545	1241	1
545	1241	895	2
1241	895	475	0
895	475	1338	1
475	1338	530	2
1338	530	1280	1
530	1280	945	2
1280	945	973	0
945	973	1004	0
973	1004	961	0
1004	961	451	0
961	451	650	1
451	650	852	2
650	852	1004	0
852	1004	448	0
1004	448	681	1
448	681	821	2
681	821	957	0
821	957	447	0
957	447	666	1
447	666	871	2
666	871	580	0
871	580	1436	1
580	1436	498	2
1436	498	622	1
498	622	841	2
622	841	988	0
841	988	463	0
988	463	1409	1
463	1409	517	2
1409	517	1351	1
517	1351	544	2
1351	544	1280	1
544	1280	926	2
1280	926	962	0
926	962	1011	0
962	1011	985	0
1011	985	455	0
985	455	654	1
455	654	883	2
654	883	568	0
883	568	1595	1
568	1595	444	2
1595	444	696	1
444	696	989	2
696	989	509	0
989	509	654	1
509	654	1055	2
654	1055	502	0
1055	502	716	1
502	716	809	2
716	809	1089	0
809	1089	440	0
1089	440	724	1
440	724	864	2
724	864	1007	0
864	1007	448	0
1007	448	673	1
448	673	903	2
673	903	541	0
903	541	638	1
541	638	899	2
638	899	1019	0
899	1019	451	0
1019	451	646	1
451	646	911	2
646	911	607	0
911	607	1342	1
607	1342	576	2
1342	576	1327	1
576	1327	595	2
1327	595	1308	1
595	1308	595	2
1308	595	1265	1
595	1265	953	2
1265	953	475	0
953	475	1381	1
475	1381	560	2
1381	560	1230	1
560	1230	938	2
1230	938	474	0
938	474	1300	1
474	1300	879	2
1300	879	475	0
879	475	1307	1
475	1307	903	2
1307	903	483	0
903	483	1303	1
483	1303	922	2
1303	922	479	0
922	479	1350	1
479	1350	541	2
1350	541	1237	1
541	1237	911	2
1237	911	467	0
911	467	1334	1
467	1334	553	2
1334	553	1241	1
553	1241	922	2
1241	922	471	0
922	471	1354	1
471	1354	518	2
1354	518	1264	1
518	1264	911	2
1264	911	471	0
911	471	1311	1
471	1311	545	2
1311	545	1225	1
545	1225	911	2
1225	911	467	0
911	467	1338	1
467	1338	514	2
1338	514	1264	1
514	1264	919	2
1264	919	467	0
919	467	1346	1
467	1346	510	2
1346	510	1256	1
510	1256	895	2
1256	895	467	0
895	467	1312	1
467	1312	544	2
1312	544	1261	1
544	1261	560	2
1261	560	1319	1
560	1319	510	2
1319	510	1300	1
510	1300	556	2
1300	556	1304	1
556	1304	517	2
1304	517	1308	1
517	1308	533	2
1308	533	1260	1
533	1260	565	2
1260	565	1229	1
565	1229	584	2
1229	584	1237	1
584	1237	553	2
1237	553	1303	1
553	1303	518	2
1303	518	1276	1
518	1276	580	2
1276	580	1229	1
580	1229	580	2
1229	580	1265	1
580	1265	537	2
1265	537	1319	1
537	1319	517	2
1319	517	1280	1
517	1280	592	2
1280	592	1268	1
592	1268	530	2
1268	530	1291	1
530	1291	549	2
1291	549	1296	1
549	1296	533	2
1296	533	1288	1
533	1288	552	2
1288	552	1265	1
552	1265	564	2
1265	564	1265	1
564	1265	552	2
1265	552	1241	1
552	1241	646	2
1241	646	1226	1
646	1226	541	2
1226	541	1327	1
541	1327	533	2
1327	533	1354	1
533	1354	517	2
1354	517	1277	1
517	1277	611	2
1277	611	1171	1
611	1171	902	2
1171	902	471	0
902	471	1288	1
471	1288	903	2
1288	903	899	0
903	899	910	0
899	910	919	0
910	919	474	0
919	474	650	1
474	650	864	2
650	864	587	0
864	587	1448	1
587	1448	478	2
1448	478	1432	1
478	1432	506	2
1432	506	1292	1
506	1292	864	2
1292	864	475	0
864	475	1260	1
475	1260	899	2
1260	899	483	0
899	483	1272	1
483	1272	638	2
1272	638	1179	1
638	1179	899	2
1179	899	883	0
899	883	487	0
883	487	1424	1
487	1424	478	2
1424	478	1347	1
478	1347	521	2
1347	521	1265	1
521	1265	708	2
1265	708	1117	1
708	1117	902	2
1117	902	475	0
902	475	1338	1
475	1338	518	2
1338	518	1284	1
518	1284	549	2
1284	549	1245	1
549	1245	564	2
1245	564	1280	1
564	1280	522	2
1280	522	1280	1
522	1280	564	2
1280	564	1276	1
564	1276	522	2
1276	522	1311	1
522	1311	529	2
1311	529	1327	1
529	1327	514	2
1327	514	1303	1
514	1303	529	2
1303	529	1292	1
529	1292	529	2
1292	529	1300	1
529	1300	525	2
1300	525	1284	1
525	1284	541	2
1284	541	1272	1
541	1272	533	2
1272	533	1261	1
533	1261	549	2
1261	549	1319	1
549	1319	513	2
1319	513	1269	1
513	1269	568	2
1269	568	1261	1
568	1261	529	2
1261	529	1280	1
529	1280	537	2
1280	537	1284	1
537	1284	533	2
1284	533	1300	1
533	1300	521	2
1300	521	1269	1
521	1269	576	2
1269	576	1272	1
576	1272	517	2
1272	517	1300	1
517	1300	537	2
1300	537	1288	1
537	1288	529	2
1288	529	1261	1
529	1261	580	2
1261	580	1249	1
580	1249	533	2
1249	533	1280	1
533	1280	541	2
1280	541	1299	1
541	1299	526	2
1299	526	1291	1
526	1291	534	2
1291	534	1276	1
534	1276	545	2
1276	545	1280	1
545	1280	533	2
1280	533	1284	1
533	1284	545	2
1284	545	1299	1
545	1299	522	2
1299	522	1256	1
522	1256	611	2
1256	611	1210	1
611	1210	557	2
1210	557	1346	1
557	1346	518	2
1346	518	1435	1
518	1435	483	2
1435	483	1319	1
483	1319	533	2
1319	533	1300	1
533	1300	517	2
1300	517	1276	1
517	1276	549	2
1276	549	1292	1
549	1292	525	2
1292	525	1308	1
525	1308	525	2
1308	525	1284	1
525	1284	545	2
1284	545	1284	1
545	1284	529	2
1284	529	1288	1
529	1288	541	2
1288	541	1295	1
541	1295	522	2
1295	522	1245	1
522	1245	623	2
1245	623	1194	1
623	1194	556	2
1194	556	1281	1
556	1281	537	2
1281	537	1354	1
537	1354	513	2
1354	513	1292	1
513	1292	537	2
1292	537	1269	1
537	1269	540	2
1269	540	1277	1
540	1277	533	2
1277	533	1280	1
533	1280	549	2
1280	549	1276	1
549	1276	525	2
1276	525	1269	1
525	1269	568	2
1269	568	1303	1
568	1303	510	2
1303	510	1315	1
510	1315	529	2
1315	529	1296	1
529	1296	529	2
1296	529	1269	1
529	1269	552	2
1269	552	1269	1
552	1269	541	2
1269	541	1280	1
541	1280	529	2
1280	529	1249	1
529	1249	587	2
1249	587	1261	1
587	1261	522	2
1261	522	1323	1
522	1323	525	2
1323	525	1342	1
525	1342	506	2
1342	506	1292	1
506	1292	545	2
1292	545	1299	1
545	1299	522	2
1299	522	1307	1
522	1307	521	2
1307	521	1284	1
521	1284	541	2
1284	541	1265	1
541	1265	537	2
1265	537	1257	1
537	1257	556	2
1257	556	1300	1
556	1300	513	2
1300	513	1319	1
513	1319	530	2
1319	530	1381	1
530	1381	498	2
1381	498	1292	1
498	1292	537	2
1292	537	1284	1
537	1284	529	2
1284	529	1358	1
529	1358	502	2
1358	502	1342	1
502	1342	514	2
1342	514	1315	1
514	1315	518	2
1315	518	1264	1
518	1264	561	2
1264	561	1256	1
561	1256	533	2
1256	533	1296	1
533	1296	525	2
1296	525	1335	1
525	1335	506	2
1335	506	1303	1
506	1303	530	2
1303	530	1288	1
530	1288	525	2
1288	525	1276	1
525	1276	537	2
1276	537	1284	1
537	1284	525	2
1284	525	1284	1
525	1284	537	2
1284	537	1288	1
537	1288	522	2
1288	522	1253	1
522	1253	572	2
1253	572	1295	1
572	1295	514	2
1295	514	1292	1
514	1292	525	2
1292	525	1284	1
525	1284	529	2
1284	529	1277	1
529	1277	533	2
1277	533	1260	1
533	1260	549	2
1260	549	1265	1
549	1265	537	2
1265	537	1284	1
537	1284	537	2
1284	537	1299	1
537	1299	522	2
1299	522	1284	1
522	1284	541	2
1284	541	1287	1
541	1287	522	2
1287	522	1257	1
522	1257	576	2
1257	576	1287	1
576	1287	518	2
1287	518	1323	1
518	1323	517	2
1323	517	1308	1
517	1308	521	2
1308	521	1273	1
521	1273	544	2
1273	544	1230	1
544	1230	584	2
1230	584	1264	1
584	1264	525	2
1264	525	1265	1
525	1265	576	2
1265	576	1296	1
576	1296	513	2
1296	513	1284	1
513	1284	545	2
1284	545	1249	1
545	1249	553	2
1249	553	1284	1
553	1284	525	2
