index	i-1	i+0	i+1	Filter	Time
1	455	638	421	0	1093
2	638	421	867	1	1514
3	421	867	635	0	2381
4	867	635	416	0	3016
5	635	416	879	1	3432
6	416	879	452	0	4311
7	879	452	863	1	4763
8	452	863	487	0	5626
9	863	487	817	1	6113
10	487	817	455	0	6930
11	817	455	930	1	7385
12	455	930	424	0	8315
13	930	424	930	1	8739
14	424	930	654	0	9669
15	930	654	420	0	10323
16	654	420	930	1	10743
17	420	930	654	0	11673
18	930	654	424	0	12327
19	654	424	965	1	12751
20	424	965	665	0	13716
21	965	665	424	0	14381
22	665	424	1012	1	14805
23	424	1012	689	0	15817
24	1012	689	416	0	16506
25	689	416	1055	1	16922
26	416	1055	700	0	17977
27	1055	700	420	0	18677
28	700	420	996	1	19097
29	420	996	677	0	20093
30	996	677	417	0	20770
31	677	417	976	1	21187
32	417	976	681	0	22163
33	976	681	417	0	22844
34	681	417	984	1	23261
35	417	984	673	0	24245
36	984	673	424	0	24918
37	673	424	997	1	25342
38	424	997	669	0	26339
39	997	669	420	0	27008
40	669	420	977	1	27428
41	420	977	673	0	28405
42	977	673	420	0	29078
43	673	420	973	1	29498
44	420	973	681	0	30471
45	973	681	416	0	31152
46	681	416	1000	1	31568
47	416	1000	662	0	32568
48	1000	662	416	0	33230
49	662	416	926	1	33646
50	416	926	646	0	34572
51	926	646	424	0	35218
52	646	424	852	1	35642
53	424	852	638	0	36494
54	852	638	424	0	37132
55	638	424	798	1	37556
56	424	798	611	0	38354
57	798	611	591	0	38965
58	611	591	417	0	39556
59	591	417	805	1	39973
60	417	805	611	0	40778
61	805	611	615	0	41389
62	611	615	412	0	42004
63	615	412	965	1	42416
64	412	965	670	0	43381
65	965	670	424	0	44051
66	670	424	988	1	44475
67	424	988	673	0	45463
68	988	673	417	0	46136
69	673	417	957	1	46553
70	417	957	650	0	47510
71	957	650	424	0	48160
72	650	424	930	1	48584
73	424	930	657	0	49514
74	930	657	413	0	50171
75	657	413	895	1	50584
76	413	895	646	0	51479
77	895	646	420	0	52125
78	646	420	895	1	52545
79	420	895	649	0	53440
80	895	649	425	0	54089
81	649	425	930	1	54514
82	425	930	669	0	55444
83	930	669	412	0	56113
84	669	412	895	1	56525
85	412	895	650	0	57420
86	895	650	416	0	58070
87	650	416	899	1	58486
88	416	899	654	0	59385
89	899	654	412	0	60039
90	654	412	876	1	60451
91	412	876	638	0	61327
92	876	638	642	0	61965
93	638	642	397	0	62607
94	642	397	938	1	63004
95	397	938	646	0	63942
96	938	646	649	0	64588
97	646	649	681	0	65237
98	649	681	405	0	65918
99	681	405	1016	1	66323
100	405	1016	680	0	67339
101	1016	680	413	0	68019
102	680	413	953	1	68432
103	413	953	642	0	69385
104	953	642	440	0	70027
105	642	440	895	1	70467
106	440	895	646	0	71362
107	895	646	439	0	72008
108	646	439	892	1	72447
109	439	892	649	0	73339
110	892	649	421	0	73988
111	649	421	937	1	74409
112	421	937	658	0	75346
113	937	658	420	0	76004
114	658	420	930	1	76424
115	420	930	634	0	77354
116	930	634	658	0	77988
117	634	658	405	0	78646
118	658	405	980	1	79051
119	405	980	642	0	80031
120	980	642	681	0	80673
121	642	681	697	0	81354
122	681	697	408	0	82051
123	697	408	1020	1	82459
124	408	1020	681	0	83479
125	1020	681	408	0	84160
126	681	408	946	1	84568
127	408	946	646	0	85514
128	946	646	424	0	86160
129	646	424	934	1	86584
130	424	934	649	0	87518
131	934	649	417	0	88167
132	649	417	871	1	88584
133	417	871	650	0	89455
134	871	650	413	0	90105
135	650	413	883	1	90518
136	413	883	642	0	91401
137	883	642	416	0	92043
138	642	416	883	1	92459
139	416	883	635	0	93342
140	883	635	428	0	93977
141	635	428	875	1	94405
142	428	875	662	0	95280
143	875	662	412	0	95942
144	662	412	953	1	96354
145	412	953	670	0	97307
146	953	670	412	0	97977
147	670	412	942	1	98389
148	412	942	650	0	99331
149	942	650	424	0	99981
150	650	424	930	1	100405
151	424	930	657	0	101335
152	930	657	420	0	101992
153	657	420	911	1	102412
154	420	911	654	0	103323
155	911	654	416	0	103977
156	654	416	907	1	104393
157	416	907	653	0	105300
158	907	653	424	0	105953
159	653	424	903	1	106377
160	424	903	650	0	107280
161	903	650	436	0	107930
162	650	436	941	1	108366
163	436	941	689	0	109307
164	941	689	409	0	109996
165	689	409	945	1	110405
166	409	945	669	0	111350
167	945	669	417	0	112019
168	669	417	918	1	112436
169	417	918	662	0	113354
170	918	662	420	0	114016
171	662	420	918	1	114436
172	420	918	665	0	115354
173	918	665	421	0	116019
174	665	421	902	1	116440
175	421	902	666	0	117342
176	902	666	412	0	118008
177	666	412	899	1	118420
178	412	899	654	0	119319
179	899	654	432	0	119973
180	654	432	895	1	120405
181	432	895	649	0	121300
182	895	649	432	0	121949
183	649	432	950	1	122381
184	432	950	681	0	123331
185	950	681	412	0	124012
186	681	412	969	1	124424
187	412	969	677	0	125393
188	969	677	412	0	126070
189	677	412	927	1	126482
190	412	927	642	0	127409
191	927	642	669	0	128051
192	642	669	405	0	128720
193	669	405	949	1	129125
194	405	949	642	0	130074
195	949	642	681	0	130716
196	642	681	405	0	131397
197	681	405	1031	1	131802
198	405	1031	681	0	132833
199	1031	681	428	0	133514
200	681	428	1000	1	133942
