i-2	i-1	i+0	i+1	i+2	Filter
23	603	588	599	588	0
603	588	599	588	576	0
588	599	588	576	579	0
599	588	576	579	569	0
588	576	579	569	571	0
576	579	569	571	553	0
579	569	571	553	553	0
569	571	553	553	544	0
571	553	553	544	549	0
553	553	544	549	541	0
553	544	549	541	556	0
544	549	541	556	576	0
549	541	556	576	595	0
541	556	576	595	600	0
556	576	595	600	591	0
576	595	600	591	580	0
595	600	591	580	595	0
600	591	580	595	599	0
591	580	595	599	600	0
580	595	599	600	599	0
595	599	600	599	595	0
599	600	599	595	584	0
600	599	595	584	583	0
599	595	584	583	588	0
595	584	583	588	580	0
584	583	588	580	583	0
583	588	580	583	576	0
588	580	583	576	572	0
580	583	576	572	572	0
583	576	572	572	565	0
576	572	572	565	568	0
572	572	565	568	560	0
572	565	568	560	556	0
565	568	560	556	549	0
568	560	556	549	549	0
560	556	549	549	548	0
556	549	549	548	541	0
549	549	548	541	541	0
549	548	541	541	537	0
548	541	541	537	529	0
541	541	537	529	525	0
541	537	529	525	530	0
537	529	525	530	525	0
529	525	530	525	529	0
525	530	525	529	521	0
530	525	529	521	522	0
525	529	521	522	517	0
529	521	522	517	514	0
521	522	517	514	521	0
522	517	514	521	522	0
517	514	521	522	513	0
514	521	522	513	522	0
521	522	513	522	517	0
522	513	522	517	522	0
513	522	517	522	525	0
522	517	522	525	518	0
517	522	525	518	517	0
522	525	518	517	521	0
525	518	517	521	518	0
518	517	521	518	517	0
517	521	518	517	522	0
521	518	517	522	517	0
518	517	522	517	518	0
517	522	517	518	517	0
522	517	518	517	514	0
517	518	517	514	518	0
518	517	514	518	517	0
517	514	518	517	514	0
514	518	517	514	513	0
518	517	514	513	510	0
517	514	513	510	514	0
514	513	510	514	509	0
513	510	514	509	514	0
510	514	509	514	506	0
514	509	514	506	517	0
509	514	506	517	522	0
514	506	517	522	529	0
506	517	522	529	541	0
517	522	529	541	541	0
522	529	541	541	552	0
529	541	541	552	553	0
541	541	552	553	572	0
541	552	553	572	591	0
552	553	572	591	592	0
553	572	591	592	572	0
572	591	592	572	568	0
591	592	572	568	564	0
592	572	568	564	568	0
572	568	564	568	564	0
568	564	568	564	560	0
564	568	564	560	565	0
568	564	560	565	552	0
564	560	565	552	557	0
560	565	552	557	548	0
565	552	557	548	537	0
552	557	548	537	541	0
557	548	537	541	533	0
548	537	541	533	533	0
537	541	533	533	533	0
541	533	533	533	541	0
533	533	533	541	541	0
533	533	541	541	537	0
533	541	541	537	537	0
541	541	537	537	545	0
541	537	537	545	548	0
537	537	545	548	557	0
537	545	548	557	552	0
545	548	557	552	557	0
548	557	552	557	560	0
557	552	557	560	580	0
552	557	560	580	587	0
557	560	580	587	584	0
560	580	587	584	576	0
580	587	584	576	583	0
587	584	576	583	596	0
584	576	583	596	595	0
576	583	596	595	580	0
583	596	595	580	576	0
596	595	580	576	568	0
595	580	576	568	580	0
580	576	568	580	564	0
576	568	580	564	564	0
568	580	564	564	560	0
580	564	564	560	561	0
564	564	560	561	564	0
564	560	561	564	564	0
560	561	564	564	568	0
561	564	564	568	584	0
564	564	568	584	576	0
564	568	584	576	564	0
568	584	576	564	568	0
584	576	564	568	576	0
576	564	568	576	587	0
564	568	576	587	596	0
568	576	587	596	579	0
576	587	596	579	572	0
587	596	579	572	569	0
596	579	572	569	583	0
579	572	569	583	576	0
572	569	583	576	576	0
569	583	576	576	576	0
583	576	576	576	584	0
576	576	576	584	603	0
576	576	584	603	626	0
576	584	603	626	646	0
584	603	626	646	634	0
603	626	646	634	631	0
626	646	634	631	614	0
646	634	631	614	600	0
634	631	614	600	618	0
631	614	600	618	635	0
614	600	618	635	657	0
600	618	635	657	677	0
618	635	657	677	673	0
635	657	677	673	716	0
657	677	673	716	740	0
677	673	716	740	747	0
673	716	740	747	754	0
716	740	747	754	732	0
740	747	754	732	728	0
747	754	732	728	743	0
754	732	728	743	727	0
732	728	743	727	713	0
728	743	727	713	719	0
743	727	713	719	751	0
727	713	719	751	740	0
713	719	751	740	739	0
719	751	740	739	704	0
751	740	739	704	712	0
740	739	704	712	763	0
739	704	712	763	759	0
704	712	763	759	739	0
712	763	759	739	704	0
763	759	739	704	751	0
759	739	704	751	728	0
739	704	751	728	716	0
704	751	728	716	673	0
751	728	716	673	685	0
728	716	673	685	704	0
716	673	685	704	704	0
673	685	704	704	677	0
685	704	704	677	658	0
704	704	677	658	681	0
704	677	658	681	700	0
677	658	681	700	697	0
658	681	700	697	669	0
681	700	697	669	658	0
700	697	669	658	681	0
697	669	658	681	677	0
669	658	681	677	673	0
658	681	677	673	642	0
681	677	673	642	646	0
677	673	642	646	665	0
673	642	646	665	658	0
642	646	665	658	657	0
646	665	658	657	638	0
665	658	657	638	646	0
658	657	638	646	673	0
657	638	646	673	674	0
638	646	673	674	653	0
