index	i-2	i-1	i+0	i+1	i+2	Filter	Time
2	233	989	1011	1000	1020	0	2233
3	989	1011	1000	1020	1031	0	3233
4	1011	1000	1020	1031	1000	0	4253
5	1000	1020	1031	1000	1027	0	5284
6	1020	1031	1000	1027	989	0	6284
7	1031	1000	1027	989	968	0	7311
8	1000	1027	989	968	981	0	8300
9	1027	989	968	981	537	0	9268
10	989	968	981	537	1183	0	10249
11	968	981	537	1183	973	1	10786
12	981	537	1183	973	953	0	11969
13	537	1183	973	953	957	0	12942
14	1183	973	953	957	965	0	13895
15	973	953	957	965	1051	0	14852
16	953	957	965	1051	1101	0	15817
17	957	965	1051	1101	1074	0	16868
18	965	1051	1101	1074	1097	0	17969
19	1051	1101	1074	1097	1035	0	19043
20	1101	1074	1097	1035	1008	0	20140
21	1074	1097	1035	1008	1008	0	21175
22	1097	1035	1008	1008	984	0	22183
23	1035	1008	1008	984	957	0	23191
24	1008	1008	984	957	1000	0	24175
25	1008	984	957	1000	1004	0	25132
26	984	957	1000	1004	537	0	26132
27	957	1000	1004	537	1218	0	27136
28	1000	1004	537	1218	1000	1	27673
29	1004	537	1218	1000	965	0	28891
30	537	1218	1000	965	957	0	29891
31	1218	1000	965	957	1020	0	30856
32	1000	965	957	1020	1101	0	31813
33	965	957	1020	1101	1124	0	32833
34	957	1020	1101	1124	1175	0	33934
35	1020	1101	1124	1175	1098	0	35058
36	1101	1124	1175	1098	1023	0	36233
37	1124	1175	1098	1023	1043	0	37331
38	1175	1098	1023	1043	1012	0	38354
39	1098	1023	1043	1012	992	0	39397
40	1023	1043	1012	992	556	0	40409
41	1043	1012	992	556	1273	0	41401
42	1012	992	556	1273	1027	1	41957
43	992	556	1273	1027	984	0	43230
44	556	1273	1027	984	533	0	44257
45	1273	1027	984	533	1222	0	45241
46	1027	984	533	1222	973	1	45774
47	984	533	1222	973	957	0	46996
48	533	1222	973	957	1023	0	47969
49	1222	973	957	1023	1094	0	48926
50	973	957	1023	1094	1198	0	49949
51	957	1023	1094	1198	1288	0	51043
52	1023	1094	1198	1288	1187	0	52241
53	1094	1198	1288	1187	1082	0	53529
54	1198	1288	1187	1082	1035	0	54716
55	1288	1187	1082	1035	988	0	55798
56	1187	1082	1035	988	984	0	56833
57	1082	1035	988	984	1032	0	57821
58	1035	988	984	1032	1054	0	58805
59	988	984	1032	1054	1039	0	59837
60	984	1032	1054	1039	1078	0	60891
61	1032	1054	1039	1078	1046	0	61930
62	1054	1039	1078	1046	1032	0	63008
63	1039	1078	1046	1032	1062	0	64054
64	1078	1046	1032	1062	1023	0	65086
65	1046	1032	1062	1023	996	0	66148
66	1032	1062	1023	996	537	0	67171
67	1062	1023	996	537	1230	0	68167
68	1023	996	537	1230	1004	1	68704
69	996	537	1230	1004	969	0	69934
70	537	1230	1004	969	1023	0	70938
71	1230	1004	969	1023	1070	0	71907
72	1004	969	1023	1070	1086	0	72930
73	969	1023	1070	1086	1140	0	74000
74	1023	1070	1086	1140	1136	0	75086
75	1070	1086	1140	1136	1082	0	76226
76	1086	1140	1136	1082	1097	0	77362
77	1140	1136	1082	1097	1058	0	78444
78	1136	1082	1097	1058	1016	0	79541
79	1082	1097	1058	1016	1050	0	80599
80	1097	1058	1016	1050	1047	0	81615
81	1058	1016	1050	1047	1051	0	82665
82	1016	1050	1047	1051	1077	0	83712
83	1050	1047	1051	1077	1055	0	84763
84	1047	1051	1077	1055	1004	0	85840
85	1051	1077	1055	1004	1012	0	86895
86	1077	1055	1004	1012	1003	0	87899
87	1055	1004	1012	1003	985	0	88911
88	1004	1012	1003	985	1047	0	89914
89	1012	1003	985	1047	1050	0	90899
90	1003	985	1047	1050	1039	0	91946
91	985	1047	1050	1039	1054	0	92996
92	1047	1050	1039	1054	1039	0	94035
93	1050	1039	1054	1039	989	0	95089
94	1039	1054	1039	989	1015	0	96128
95	1054	1039	989	1015	1028	0	97117
96	1039	989	1015	1028	1015	0	98132
97	989	1015	1028	1015	1000	0	99160
98	1015	1028	1015	1000	1035	0	100175
99	1028	1015	1000	1035	1082	0	101175
100	1015	1000	1035	1082	1058	0	102210
101	1000	1035	1082	1058	1031	0	103292
102	1035	1082	1058	1031	1028	0	104350
103	1082	1058	1031	1028	1046	0	105381
104	1058	1031	1028	1046	1012	0	106409
105	1031	1028	1046	1012	984	0	107455
106	1028	1046	1012	984	996	0	108467
107	1046	1012	984	996	1032	0	109451
108	1012	984	996	1032	1003	0	110447
109	984	996	1032	1003	1036	0	111479
110	996	1032	1003	1036	1035	0	112482
111	1032	1003	1036	1035	1011	0	113518
112	1003	1036	1035	1011	1027	0	114553
