index	i-3	i-2	i-1	i+0	i+1	i+2	i+3	Filter	Time
3	253	934	513	1284	930	506	1308	0	2984
4	934	513	1284	930	506	1308	930	0	3914
5	513	1284	930	506	1308	930	509	1	4420
6	1284	930	506	1308	930	509	1331	0	5728
7	930	506	1308	930	509	1331	918	0	6658
8	506	1308	930	509	1331	918	506	1	7167
9	1308	930	509	1331	918	506	1315	0	8498
10	930	509	1331	918	506	1315	930	0	9416
11	509	1331	918	506	1315	930	510	1	9922
12	1331	918	506	1315	930	510	1261	0	11237
13	918	506	1315	930	510	1261	902	0	12167
14	506	1315	930	510	1261	902	510	1	12677
15	1315	930	510	1261	902	510	1234	0	13938
16	930	510	1261	902	510	1234	887	0	14840
17	510	1261	902	510	1234	887	529	1	15350
18	1261	902	510	1234	887	529	1226	0	16584
19	902	510	1234	887	529	1226	875	0	17471
20	510	1234	887	529	1226	875	522	1	18000
21	1234	887	529	1226	875	522	1214	0	19226
22	887	529	1226	875	522	1214	879	0	20101
23	529	1226	875	522	1214	879	541	1	20623
24	1226	875	522	1214	879	541	1241	0	21837
25	875	522	1214	879	541	1241	879	0	22716
26	522	1214	879	541	1241	879	522	1	23257
27	1214	879	541	1241	879	522	1292	0	24498
28	879	541	1241	879	522	1292	926	0	25377
29	541	1241	879	522	1292	926	517	1	25899
30	1241	879	522	1292	926	517	1308	0	27191
31	879	522	1292	926	517	1308	961	0	28117
32	522	1292	926	517	1308	961	509	1	28634
33	1292	926	517	1308	961	509	1339	0	29942
34	926	517	1308	961	509	1339	949	0	30903
35	517	1308	961	509	1339	949	506	1	31412
36	1308	961	509	1339	949	506	1331	0	32751
37	961	509	1339	949	506	1331	938	0	33700
38	509	1339	949	506	1331	938	513	1	34206
39	1339	949	506	1331	938	513	1312	0	35537
40	949	506	1331	938	513	1312	902	0	36475
41	506	1331	938	513	1312	902	514	1	36988
42	1331	938	513	1312	902	514	1315	0	38300
43	938	513	1312	902	514	1315	938	0	39202
44	513	1312	902	514	1315	938	506	1	39716
45	1312	902	514	1315	938	506	1288	0	41031
46	902	514	1315	938	506	1288	930	0	41969
47	514	1315	938	506	1288	930	513	1	42475
48	1315	938	506	1288	930	513	1292	0	43763
49	938	506	1288	930	513	1292	914	0	44693
50	506	1288	930	513	1292	914	499	1	45206
51	1288	930	513	1292	914	499	1276	0	46498
52	930	513	1292	914	499	1276	902	0	47412
53	513	1292	914	499	1276	902	514	1	47911
54	1292	914	499	1276	902	514	1187	0	49187
55	914	499	1276	902	514	1187	801	0	50089
56	499	1276	902	514	1187	801	545	1	50603
57	1276	902	514	1187	801	545	1066	0	51790
58	902	514	1187	801	545	1066	806	0	52591
59	514	1187	801	545	1066	806	844	1	53136
60	1187	801	545	1066	806	844	903	0	54202
61	801	545	1066	806	844	903	945	0	55008
62	545	1066	806	844	903	945	888	0	55852
63	1066	806	844	903	945	888	568	0	56755
64	806	844	903	945	888	568	1288	0	57700
65	844	903	945	888	568	1288	933	0	58588
66	903	945	888	568	1288	933	522	1	59156
67	945	888	568	1288	933	522	1346	0	60444
68	888	568	1288	933	522	1346	977	0	61377
69	568	1288	933	522	1346	977	506	1	61899
70	1288	933	522	1346	977	506	1377	0	63245
71	933	522	1346	977	506	1377	973	0	64222
72	522	1346	977	506	1377	973	502	1	64728
73	1346	977	506	1377	973	502	1373	0	66105
74	977	506	1377	973	502	1373	954	0	67078
75	506	1377	973	502	1373	954	498	1	67580
76	1377	973	502	1373	954	498	1385	0	68953
77	973	502	1373	954	498	1385	938	0	69907
78	502	1373	954	498	1385	938	498	1	70405
79	1373	954	498	1385	938	498	1369	0	71790
80	954	498	1385	938	498	1369	926	0	72728
81	498	1385	938	498	1369	926	502	1	73226
82	1385	938	498	1369	926	502	1304	0	74595
83	938	498	1369	926	502	1304	910	0	75521
84	498	1369	926	502	1304	910	510	1	76023
85	1369	926	502	1304	910	510	1253	0	77327
86	926	502	1304	910	510	1253	895	0	78237
87	502	1304	910	510	1253	895	510	1	78747
88	1304	910	510	1253	895	510	1276	0	80000
89	910	510	1253	895	510	1276	910	0	80895
90	510	1253	895	510	1276	910	510	1	81405
91	1253	895	510	1276	910	510	1308	0	82681
92	895	510	1276	910	510	1308	933	0	83591
93	510	1276	910	510	1308	933	506	1	84101
94	1276	910	510	1308	933	506	1304	0	85409
95	910	510	1308	933	506	1304	875	0	86342
