index	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	Filter	Time
4	167	424	670	541	544	421	373	385	922	0	2346
5	424	670	541	544	421	373	385	922	401	1	2767
6	670	541	544	421	373	385	922	401	716	1	3140
7	541	544	421	373	385	922	401	716	413	1	3525
8	544	421	373	385	922	401	716	413	653	0	4447
9	421	373	385	922	401	716	413	653	530	1	4848
10	373	385	922	401	716	413	653	530	529	0	5564
11	385	922	401	716	413	653	530	529	408	1	5977
12	922	401	716	413	653	530	529	408	374	0	6630
13	401	716	413	653	530	529	408	374	875	0	7160
14	716	413	653	530	529	408	374	875	541	0	7689
15	413	653	530	529	408	374	875	541	541	1	8097
16	653	530	529	408	374	875	541	541	412	1	8471
17	530	529	408	374	875	541	541	412	386	0	9346
18	529	408	374	875	541	541	412	386	902	0	9887
19	408	374	875	541	541	412	386	902	409	0	10428
20	374	875	541	541	412	386	902	409	720	1	10840
21	875	541	541	412	386	902	409	720	548	1	11226
22	541	541	412	386	902	409	720	548	549	0	12128
23	541	412	386	902	409	720	548	549	409	1	12537
24	412	386	902	409	720	548	549	409	362	0	13257
25	386	902	409	720	548	549	409	362	894	0	13805
26	902	409	720	548	549	409	362	894	428	0	14354
27	409	720	548	549	409	362	894	428	646	1	14763
28	720	548	549	409	362	894	428	646	545	1	15125
29	548	549	409	362	894	428	646	545	537	0	16019
30	549	409	362	894	428	646	545	537	420	1	16447
31	409	362	894	428	646	545	537	420	673	0	17093
32	362	894	428	646	545	537	420	673	534	0	17638
33	894	428	646	545	537	420	673	534	548	0	18175
34	428	646	545	537	420	673	534	548	444	1	18595
35	646	545	537	420	673	534	548	444	346	0	19268
36	545	537	420	673	534	548	444	346	953	0	19802
37	537	420	673	534	548	444	346	953	440	0	20350
38	420	673	534	548	444	346	953	440	704	1	20794
39	673	534	548	444	346	953	440	704	572	1	21140
40	534	548	444	346	953	440	704	572	549	0	22093
41	548	444	346	953	440	704	572	549	424	1	22533
42	444	346	953	440	704	572	549	424	782	0	23237
43	346	953	440	704	572	549	424	782	409	0	23809
44	953	440	704	572	549	424	782	409	727	0	24358
45	440	704	572	549	424	782	409	727	592	1	24782
46	704	572	549	424	782	409	727	592	552	0	25564
47	572	549	424	782	409	727	592	552	397	1	25973
48	549	424	782	409	727	592	552	397	366	0	26700
49	424	782	409	727	592	552	397	366	852	0	27292
50	782	409	727	592	552	397	366	852	576	0	27844
51	409	727	592	552	397	366	852	576	514	1	28241
52	727	592	552	397	366	852	576	514	529	1	28607
53	592	552	397	366	852	576	514	529	525	0	29459
54	552	397	366	852	576	514	529	525	518	0	30035
55	397	366	852	576	514	529	525	518	525	0	30549
56	366	852	576	514	529	525	518	525	514	0	31078
57	852	576	514	529	525	518	525	514	517	0	31603
58	576	514	529	525	518	525	514	517	529	0	32121
59	514	529	525	518	525	514	517	529	545	0	32646
60	529	525	518	525	514	517	529	545	440	0	33160
61	525	518	525	514	517	529	545	440	346	0	33677
62	518	525	514	517	529	545	440	346	856	0	34206
63	525	514	517	529	545	440	346	856	545	0	34751
64	514	517	529	545	440	346	856	545	544	1	35191
65	517	529	545	440	346	856	545	544	417	1	35537
66	529	545	440	346	856	545	544	417	677	0	36393
67	545	440	346	856	545	544	417	677	412	0	36938
68	440	346	856	545	544	417	677	412	670	0	37482
69	346	856	545	544	417	677	412	670	521	1	37899
70	856	545	544	417	677	412	670	521	529	0	38576
71	545	544	417	677	412	670	521	529	405	1	38988
72	544	417	677	412	670	521	529	405	350	0	39658
73	417	677	412	670	521	529	405	350	817	0	40179
74	677	412	670	521	529	405	350	817	455	0	40708
75	412	670	521	529	405	350	817	455	588	1	41113
76	670	521	529	405	350	817	455	588	517	1	41463
77	521	529	405	350	817	455	588	517	518	0	42280
78	529	405	350	817	455	588	517	518	377	1	42735
79	405	350	817	455	588	517	518	377	685	0	43323
80	350	817	455	588	517	518	377	685	409	0	43840
81	817	455	588	517	518	377	685	409	650	0	44358
82	455	588	517	518	377	685	409	650	432	1	44735
83	588	517	518	377	685	409	650	432	630	0	45420
84	517	518	377	685	409	650	432	630	424	1	45829
85	518	377	685	409	650	432	630	424	642	0	46479
86	377	685	409	650	432	630	424	642	428	1	46911
87	685	409	650	432	630	424	642	428	654	0	47541
88	409	650	432	630	424	642	428	654	397	1	47965
89	650	432	630	424	642	428	654	397	681	0	48607
90	432	630	424	642	428	654	397	681	431	1	49035
91	630	424	642	428	654	397	681	431	658	0	49689
92	424	642	428	654	397	681	431	658	397	1	50086
93	642	428	654	397	681	431	658	397	681	0	50767
94	428	654	397	681	431	658	397	681	377	1	51198
95	654	397	681	431	658	397	681	377	681	0	51856
96	397	681	431	658	397	681	377	681	420	1	52253
97	681	431	658	397	681	377	681	420	619	0	52934
98	431	658	397	681	377	681	420	619	518	1	53311
99	658	397	681	377	681	420	619	518	389	0	53992
100	397	681	377	681	420	619	518	389	362	1	54412
101	681	377	681	420	619	518	389	362	817	0	55031
102	377	681	420	619	518	389	362	817	471	0	55549
103	681	420	619	518	389	362	817	471	560	1	55938
104	420	619	518	389	362	817	471	560	373	1	56300
105	619	518	389	362	817	471	560	373	343	0	57117
106	518	389	362	817	471	560	373	343	821	1	57588
107	389	362	817	471	560	373	343	821	404	0	58148
108	362	817	471	560	373	343	821	404	627	1	58521
109	817	471	560	373	343	821	404	627	510	1	58864
110	471	560	373	343	821	404	627	510	498	0	59685
111	560	373	343	821	404	627	510	498	498	1	60089
