Correlation for file  I01_ann
-,"i.5","i.4","i.3","i.2","i.1","i.0","i.1.1","i.2.1","i.3.1","i.4.1","i.5.1"
"i.5",1,-0.405682027590661,-0.00426462817004435,0.0953619618582979,0.183338986232608,-0.0546881106210505,0.171761407507314,-0.0532787473161325,0.13592636616554,0.0223835718602587,0.129260612781538
"i.4",-0.405682027590661,1,-0.405936648779652,-0.00433019960197067,0.0953177792220364,0.182466583369847,-0.0537130802568722,0.171667312128616,-0.0532970372293211,0.135959226965954,0.0222830980052581
"i.3",-0.00426462817004435,-0.405936648779652,1,-0.405782400907007,-0.00422478865633555,0.0952969076089806,0.182673552607506,-0.0537703793010325,0.171596065535691,-0.0532892821450589,0.135956778848461
"i.2",0.0953619618582979,-0.00433019960197067,-0.405782400907007,1,-0.406642470006316,-0.00447284448906887,0.095283983320641,0.183672100826456,-0.0552620437272563,0.171351102557063,-0.0533627643456069
"i.1",0.183338986232608,0.0953177792220364,-0.00422478865633555,-0.406642470006316,1,-0.406340867157907,-0.00435953124338345,0.0936521016461899,0.185231626838814,-0.0550444405689423,0.171316900370549
"i.0",-0.0546881106210505,0.182466583369847,0.0952969076089806,-0.00447284448906887,-0.406340867157907,1,-0.405574126293471,-0.00460573960781501,0.0937731456920689,0.185336974062481,-0.0552013199084879
"i.1.1",0.171761407507314,-0.0537130802568722,0.182673552607506,0.095283983320641,-0.00435953124338345,-0.405574126293471,1,-0.405585992605322,-0.00442620540790178,0.0938697624300705,0.185586768906997
"i.2.1",-0.0532787473161325,0.171667312128616,-0.0537703793010325,0.183672100826456,0.0936521016461899,-0.00460573960781501,-0.405585992605322,1,-0.406522146089167,-0.00456606509943147,0.0937052790552225
"i.3.1",0.13592636616554,-0.0532970372293211,0.171596065535691,-0.0552620437272563,0.185231626838814,0.0937731456920689,-0.00442620540790178,-0.406522146089167,1,-0.405922025190243,-0.00444101945443597
"i.4.1",0.0223835718602587,0.135959226965954,-0.0532892821450589,0.171351102557063,-0.0550444405689423,0.185336974062481,0.0938697624300705,-0.00456606509943147,-0.405922025190243,1,-0.405912279369024
"i.5.1",0.129260612781538,0.0222830980052581,0.135956778848461,-0.0533627643456069,0.171316900370549,-0.0552013199084879,0.185586768906997,0.0937052790552225,-0.00444101945443597,-0.405912279369024,1
Correlation for file  I02_ann
-,"i.5","i.4","i.3","i.2","i.1","i.0","i.1.1","i.2.1","i.3.1","i.4.1","i.5.1"
"i.5",1,0.370406042544638,0.0926638440446733,0.0596469773846688,0.176804220493392,0.442988022625478,0.530629320019402,0.28429702634442,0.108380259096969,0.134879536978167,0.306173994513693
"i.4",0.370406042544638,1,0.370680291517078,0.0932931585105785,0.0603141233955961,0.177214197416449,0.443215607514031,0.530835349156892,0.284578825021167,0.109029698152466,0.135598426920679
"i.3",0.0926638440446733,0.370680291517078,1,0.371424020833674,0.0940702301472093,0.0608292288449739,0.177583488712913,0.443483913273738,0.531037885448192,0.285326422886308,0.109833141922576
