i-5	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	i+5	Filter
253	934	513	1284	930	506	1308	930	509	1331	918	1
934	513	1284	930	506	1308	930	509	1331	918	506	0
513	1284	930	506	1308	930	509	1331	918	506	1315	0
1284	930	506	1308	930	509	1331	918	506	1315	930	1
930	506	1308	930	509	1331	918	506	1315	930	510	0
506	1308	930	509	1331	918	506	1315	930	510	1261	0
1308	930	509	1331	918	506	1315	930	510	1261	902	1
930	509	1331	918	506	1315	930	510	1261	902	510	0
509	1331	918	506	1315	930	510	1261	902	510	1234	0
1331	918	506	1315	930	510	1261	902	510	1234	887	1
918	506	1315	930	510	1261	902	510	1234	887	529	0
506	1315	930	510	1261	902	510	1234	887	529	1226	0
1315	930	510	1261	902	510	1234	887	529	1226	875	1
930	510	1261	902	510	1234	887	529	1226	875	522	0
510	1261	902	510	1234	887	529	1226	875	522	1214	0
1261	902	510	1234	887	529	1226	875	522	1214	879	1
902	510	1234	887	529	1226	875	522	1214	879	541	0
510	1234	887	529	1226	875	522	1214	879	541	1241	0
1234	887	529	1226	875	522	1214	879	541	1241	879	1
887	529	1226	875	522	1214	879	541	1241	879	522	0
529	1226	875	522	1214	879	541	1241	879	522	1292	0
1226	875	522	1214	879	541	1241	879	522	1292	926	1
875	522	1214	879	541	1241	879	522	1292	926	517	0
522	1214	879	541	1241	879	522	1292	926	517	1308	0
1214	879	541	1241	879	522	1292	926	517	1308	961	1
879	541	1241	879	522	1292	926	517	1308	961	509	0
541	1241	879	522	1292	926	517	1308	961	509	1339	0
1241	879	522	1292	926	517	1308	961	509	1339	949	1
879	522	1292	926	517	1308	961	509	1339	949	506	0
522	1292	926	517	1308	961	509	1339	949	506	1331	0
1292	926	517	1308	961	509	1339	949	506	1331	938	1
926	517	1308	961	509	1339	949	506	1331	938	513	0
517	1308	961	509	1339	949	506	1331	938	513	1312	0
1308	961	509	1339	949	506	1331	938	513	1312	902	1
961	509	1339	949	506	1331	938	513	1312	902	514	0
509	1339	949	506	1331	938	513	1312	902	514	1315	0
1339	949	506	1331	938	513	1312	902	514	1315	938	1
949	506	1331	938	513	1312	902	514	1315	938	506	0
506	1331	938	513	1312	902	514	1315	938	506	1288	0
1331	938	513	1312	902	514	1315	938	506	1288	930	1
938	513	1312	902	514	1315	938	506	1288	930	513	0
513	1312	902	514	1315	938	506	1288	930	513	1292	0
1312	902	514	1315	938	506	1288	930	513	1292	914	1
902	514	1315	938	506	1288	930	513	1292	914	499	0
514	1315	938	506	1288	930	513	1292	914	499	1276	0
1315	938	506	1288	930	513	1292	914	499	1276	902	1
938	506	1288	930	513	1292	914	499	1276	902	514	0
506	1288	930	513	1292	914	499	1276	902	514	1187	0
1288	930	513	1292	914	499	1276	902	514	1187	801	1
930	513	1292	914	499	1276	902	514	1187	801	545	0
513	1292	914	499	1276	902	514	1187	801	545	1066	0
1292	914	499	1276	902	514	1187	801	545	1066	806	1
914	499	1276	902	514	1187	801	545	1066	806	844	0
499	1276	902	514	1187	801	545	1066	806	844	903	0
1276	902	514	1187	801	545	1066	806	844	903	945	1
902	514	1187	801	545	1066	806	844	903	945	888	0
514	1187	801	545	1066	806	844	903	945	888	568	0
1187	801	545	1066	806	844	903	945	888	568	1288	0
801	545	1066	806	844	903	945	888	568	1288	933	0
545	1066	806	844	903	945	888	568	1288	933	522	0
1066	806	844	903	945	888	568	1288	933	522	1346	0
806	844	903	945	888	568	1288	933	522	1346	977	1
844	903	945	888	568	1288	933	522	1346	977	506	0
903	945	888	568	1288	933	522	1346	977	506	1377	0
945	888	568	1288	933	522	1346	977	506	1377	973	1
888	568	1288	933	522	1346	977	506	1377	973	502	0
568	1288	933	522	1346	977	506	1377	973	502	1373	0
1288	933	522	1346	977	506	1377	973	502	1373	954	1
933	522	1346	977	506	1377	973	502	1373	954	498	0
522	1346	977	506	1377	973	502	1373	954	498	1385	0
1346	977	506	1377	973	502	1373	954	498	1385	938	1
977	506	1377	973	502	1373	954	498	1385	938	498	0
506	1377	973	502	1373	954	498	1385	938	498	1369	0
1377	973	502	1373	954	498	1385	938	498	1369	926	1
973	502	1373	954	498	1385	938	498	1369	926	502	0
502	1373	954	498	1385	938	498	1369	926	502	1304	0
1373	954	498	1385	938	498	1369	926	502	1304	910	1
954	498	1385	938	498	1369	926	502	1304	910	510	0
498	1385	938	498	1369	926	502	1304	910	510	1253	0
1385	938	498	1369	926	502	1304	910	510	1253	895	1
938	498	1369	926	502	1304	910	510	1253	895	510	0
498	1369	926	502	1304	910	510	1253	895	510	1276	0
1369	926	502	1304	910	510	1253	895	510	1276	910	1
926	502	1304	910	510	1253	895	510	1276	910	510	0
502	1304	910	510	1253	895	510	1276	910	510	1308	0
1304	910	510	1253	895	510	1276	910	510	1308	933	1
910	510	1253	895	510	1276	910	510	1308	933	506	0
510	1253	895	510	1276	910	510	1308	933	506	1304	0
1253	895	510	1276	910	510	1308	933	506	1304	875	1
895	510	1276	910	510	1308	933	506	1304	875	518	0
510	1276	910	510	1308	933	506	1304	875	518	1179	0
1276	910	510	1308	933	506	1304	875	518	1179	836	1
910	510	1308	933	506	1304	875	518	1179	836	541	0
510	1308	933	506	1304	875	518	1179	836	541	1276	0
1308	933	506	1304	875	518	1179	836	541	1276	880	1
933	506	1304	875	518	1179	836	541	1276	880	537	0
506	1304	875	518	1179	836	541	1276	880	537	1257	0
1304	875	518	1179	836	541	1276	880	537	1257	887	1
875	518	1179	836	541	1276	880	537	1257	887	517	0
518	1179	836	541	1276	880	537	1257	887	517	1273	0
1179	836	541	1276	880	537	1257	887	517	1273	910	1
836	541	1276	880	537	1257	887	517	1273	910	529	0
541	1276	880	537	1257	887	517	1273	910	529	1284	0
1276	880	537	1257	887	517	1273	910	529	1284	930	1
880	537	1257	887	517	1273	910	529	1284	930	506	0
