index	i-5	i-4	i-3	i-2	i-1	i+0	i+1	i+2	i+3	i+4	i+5	Filter	Time
5	257	600	856	875	868	879	887	498	1234	817	801	0	4389
6	600	856	875	868	879	887	498	1234	817	801	786	0	5276
7	856	875	868	879	887	498	1234	817	801	786	790	1	5774
8	875	868	879	887	498	1234	817	801	786	790	814	0	7008
9	868	879	887	498	1234	817	801	786	790	814	817	0	7825
10	879	887	498	1234	817	801	786	790	814	817	817	0	8626
11	887	498	1234	817	801	786	790	814	817	817	805	0	9412
12	498	1234	817	801	786	790	814	817	817	805	817	0	10202
13	1234	817	801	786	790	814	817	817	805	817	810	0	11016
14	817	801	786	790	814	817	817	805	817	810	817	0	11833
15	801	786	790	814	817	817	805	817	810	817	836	0	12650
16	786	790	814	817	817	805	817	810	817	836	518	0	13455
17	790	814	817	817	805	817	810	817	836	518	1187	0	14272
18	814	817	817	805	817	810	817	836	518	1187	817	0	15082
19	817	817	805	817	810	817	836	518	1187	817	821	0	15899
20	817	805	817	810	817	836	518	1187	817	821	805	0	16735
21	805	817	810	817	836	518	1187	817	821	805	810	1	17253
22	817	810	817	836	518	1187	817	821	805	810	813	0	18440
23	810	817	836	518	1187	817	821	805	810	813	821	0	19257
24	817	836	518	1187	817	821	805	810	813	821	821	0	20078
25	836	518	1187	817	821	805	810	813	821	821	821	0	20883
26	518	1187	817	821	805	810	813	821	821	821	809	0	21693
27	1187	817	821	805	810	813	821	821	821	809	790	0	22506
28	817	821	805	810	813	821	821	821	809	790	782	0	23327
29	821	805	810	813	821	821	821	809	790	782	794	0	24148
30	805	810	813	821	821	821	809	790	782	794	517	0	24969
31	810	813	821	821	821	809	790	782	794	517	1152	0	25778
32	813	821	821	821	809	790	782	794	517	1152	813	0	26568
33	821	821	821	809	790	782	794	517	1152	813	829	0	27350
34	821	821	809	790	782	794	517	1152	813	829	837	0	28144
35	821	809	790	782	794	517	1152	813	829	837	844	1	28661
36	809	790	782	794	517	1152	813	829	837	844	833	0	29813
37	790	782	794	517	1152	813	829	837	844	833	840	0	30626
38	782	794	517	1152	813	829	837	844	833	840	510	0	31455
39	794	517	1152	813	829	837	844	833	840	510	1210	0	32292
40	517	1152	813	829	837	844	833	840	510	1210	821	0	33136
41	1152	813	829	837	844	833	840	510	1210	821	825	0	33969
42	813	829	837	844	833	840	510	1210	821	825	817	0	34809
43	829	837	844	833	840	510	1210	821	825	817	810	1	35319
44	837	844	833	840	510	1210	821	825	817	810	817	0	36529
45	844	833	840	510	1210	821	825	817	810	817	825	0	37350
46	833	840	510	1210	821	825	817	810	817	825	828	0	38175
47	840	510	1210	821	825	817	810	817	825	828	833	0	38992
48	510	1210	821	825	817	810	817	825	828	833	841	0	39802
49	1210	821	825	817	810	817	825	828	833	841	840	0	40619
50	821	825	817	810	817	825	828	833	841	840	840	0	41444
51	825	817	810	817	825	828	833	841	840	840	518	0	42272
52	817	810	817	825	828	833	841	840	840	518	1171	0	43105
53	810	817	825	828	833	841	840	840	518	1171	798	0	43946
54	817	825	828	833	841	840	840	518	1171	798	782	0	44786
55	825	828	833	841	840	840	518	1171	798	782	774	0	45626
56	828	833	841	840	840	518	1171	798	782	774	767	1	46144
57	833	841	840	840	518	1171	798	782	774	767	782	0	47315
58	841	840	840	518	1171	798	782	774	767	782	825	0	48113
59	840	840	518	1171	798	782	774	767	782	825	825	0	48895
60	840	518	1171	798	782	774	767	782	825	825	809	0	49669
61	518	1171	798	782	774	767	782	825	825	809	829	0	50436
62	1171	798	782	774	767	782	825	825	809	829	836	0	51218
63	798	782	774	767	782	825	825	809	829	836	837	0	52043
64	782	774	767	782	825	825	809	829	836	837	848	0	52868
65	774	767	782	825	825	809	829	836	837	848	860	0	53677
66	767	782	825	825	809	829	836	837	848	860	494	0	54506
67	782	825	825	809	829	836	837	848	860	494	1257	0	55342
68	825	825	809	829	836	837	848	860	494	1257	844	0	56179
69	825	809	829	836	837	848	860	494	1257	844	845	0	57027
70	809	829	836	837	848	860	494	1257	844	845	506	0	57887
71	829	836	837	848	860	494	1257	844	845	506	1202	1	58381
72	836	837	848	860	494	1257	844	845	506	1202	821	0	59638
73	837	848	860	494	1257	844	845	506	1202	821	813	0	60482
74	848	860	494	1257	844	845	506	1202	821	813	673	0	61327
75	860	494	1257	844	845	506	1202	821	813	673	907	1	61833
76	494	1257	844	845	506	1202	821	813	673	907	786	0	63035
77	1257	844	845	506	1202	821	813	673	907	786	778	0	63856
78	844	845	506	1202	821	813	673	907	786	778	790	0	64669
79	845	506	1202	821	813	673	907	786	778	790	817	0	65342
80	506	1202	821	813	673	907	786	778	790	817	518	0	66249
81	1202	821	813	673	907	786	778	790	817	518	1229	0	67035
82	821	813	673	907	786	778	790	817	518	1229	852	0	67813
83	813	673	907	786	778	790	817	518	1229	852	868	0	68603
84	673	907	786	778	790	817	518	1229	852	868	514	0	69420
85	907	786	778	790	817	518	1229	852	868	514	1241	1	69938
86	786	778	790	817	518	1229	852	868	514	1241	825	0	71167
87	778	790	817	518	1229	852	868	514	1241	825	813	0	72019
88	790	817	518	1229	852	868	514	1241	825	813	809	0	72887
89	817	518	1229	852	868	514	1241	825	813	809	814	1	73401
90	518	1229	852	868	514	1241	825	813	809	814	825	0	74642
91	1229	852	868	514	1241	825	813	809	814	825	825	0	75467
92	852	868	514	1241	825	813	809	814	825	825	521	0	76280
93	868	514	1241	825	813	809	814	825	825	521	1163	0	77089
94	514	1241	825	813	809	814	825	825	521	1163	825	0	77903
95	1241	825	813	809	814	825	825	521	1163	825	829	0	78728
96	825	813	809	814	825	825	521	1163	825	829	817	0	79553
97	813	809	814	825	825	521	1163	825	829	817	510	1	80074
98	809	814	825	825	521	1163	825	829	817	510	1163	0	81237
99	814	825	825	521	1163	825	829	817	510	1163	810	0	82062
100	825	825	521	1163	825	829	817	510	1163	810	809	0	82891
101	825	521	1163	825	829	817	510	1163	810	809	794	0	83708
102	521	1163	825	829	817	510	1163	810	809	794	770	1	84218
103	1163	825	829	817	510	1163	810	809	794	770	763	0	85381
104	825	829	817	510	1163	810	809	794	770	763	762	0	86191
105	829	817	510	1163	810	809	794	770	763	762	783	0	87000
106	817	510	1163	810	809	794	770	763	762	783	805	0	87794
107	510	1163	810	809	794	770	763	762	783	805	852	0	88564
108	1163	810	809	794	770	763	762	783	805	852	864	0	89327
109	810	809	794	770	763	762	783	805	852	864	879	0	90089
110	809	794	770	763	762	783	805	852	864	879	868	0	90872
111	794	770	763	762	783	805	852	864	879	868	506	0	91677
112	770	763	762	783	805	852	864	879	868	506	1257	0	92529
113	763	762	783	805	852	864	879	868	506	1257	829	0	93393
114	762	783	805	852	864	879	868	506	1257	829	840	0	94272
115	783	805	852	864	879	868	506	1257	829	840	821	0	95140
116	805	852	864	879	868	506	1257	829	840	821	817	1	95646
117	852	864	879	868	506	1257	829	840	821	817	825	0	96903
118	864	879	868	506	1257	829	840	821	817	825	848	0	97732
119	879	868	506	1257	829	840	821	817	825	848	510	0	98572
120	868	506	1257	829	840	821	817	825	848	510	1230	0	99393
121	506	1257	829	840	821	817	825	848	510	1230	828	0	100210
122	1257	829	840	821	817	825	848	510	1230	828	829	0	101035
123	829	840	821	817	825	848	510	1230	828	829	825	0	101883
124	840	821	817	825	848	510	1230	828	829	825	829	1	102393
125	821	817	825	848	510	1230	828	829	825	829	829	0	103623
126	817	825	848	510	1230	828	829	825	829	829	828	0	104451
127	825	848	510	1230	828	829	825	829	829	828	841	0	105280
128	848	510	1230	828	829	825	829	829	828	841	825	0	106105
129	510	1230	828	829	825	829	829	828	841	825	844	0	106934
130	1230	828	829	825	829	829	828	841	825	844	837	0	107763
131	828	829	825	829	829	828	841	825	844	837	829	0	108591
132	829	825	829	829	828	841	825	844	837	829	801	0	109432
133	825	829	829	828	841	825	844	837	829	801	794	0	110257
134	829	829	828	841	825	844	837	829	801	794	786	0	111101
135	829	828	841	825	844	837	829	801	794	786	794	0	111938
136	828	841	825	844	837	829	801	794	786	794	828	0	112767
137	841	825	844	837	829	801	794	786	794	828	849	0	113568
138	825	844	837	829	801	794	786	794	828	849	860	0	114362
