i-2	i-1	i+0	i+1	i+2	Filter
848	712	494	946	724	1
712	494	946	724	478	2
494	946	724	478	957	0
946	724	478	957	709	1
724	478	957	709	486	2
478	957	709	486	938	0
957	709	486	938	700	1
709	486	938	700	498	2
486	938	700	498	903	0
938	700	498	903	696	1
700	498	903	696	530	2
498	903	696	530	898	0
903	696	530	898	705	1
696	530	898	705	525	2
530	898	705	525	914	0
898	705	525	914	720	1
705	525	914	720	491	2
525	914	720	491	949	0
914	720	491	949	704	1
720	491	949	704	490	2
491	949	704	490	954	0
949	704	490	954	724	1
704	490	954	724	478	2
490	954	724	478	957	0
954	724	478	957	712	1
724	478	957	712	483	2
478	957	712	483	961	0
957	712	483	961	712	1
712	483	961	712	724	2
483	961	712	724	653	0
961	712	724	653	779	0
712	724	653	779	727	1
724	653	779	727	533	2
653	779	727	533	946	0
779	727	533	946	739	1
727	533	946	739	475	2
533	946	739	475	984	0
946	739	475	984	736	1
739	475	984	736	731	2
475	984	736	731	588	0
984	736	731	588	883	0
736	731	588	883	732	1
731	588	883	732	490	2
588	883	732	490	969	0
883	732	490	969	731	1
732	490	969	731	471	2
490	969	731	471	981	0
969	731	471	981	716	1
731	471	981	716	474	2
471	981	716	474	969	0
981	716	474	969	716	1
716	474	969	716	479	2
474	969	716	479	949	0
969	716	479	949	716	1
716	479	949	716	479	2
479	949	716	479	949	0
949	716	479	949	704	1
716	479	949	704	479	2
479	949	704	479	930	0
949	704	479	930	704	1
704	479	930	704	494	2
479	930	704	494	923	0
930	704	494	923	688	1
704	494	923	688	518	2
494	923	688	518	891	0
923	688	518	891	704	1
688	518	891	704	525	2
518	891	704	525	884	0
891	704	525	884	704	1
704	525	884	704	514	2
525	884	704	514	910	0
884	704	514	910	700	1
704	514	910	700	514	2
514	910	700	514	907	0
910	700	514	907	708	1
700	514	907	708	513	2
514	907	708	513	899	0
907	708	513	899	697	1
708	513	899	697	541	2
513	899	697	541	883	0
899	697	541	883	704	1
697	541	883	704	533	2
541	883	704	533	891	0
883	704	533	891	712	1
704	533	891	712	498	2
533	891	712	498	946	0
891	712	498	946	708	1
712	498	946	708	490	2
498	946	708	490	938	0
946	708	490	938	716	1
708	490	938	716	487	2
490	938	716	487	941	0
938	716	487	941	693	1
716	487	941	693	509	2
487	941	693	509	895	0
941	693	509	895	697	1
693	509	895	697	545	2
509	895	697	545	856	0
895	697	545	856	692	1
697	545	856	692	557	2
545	856	692	557	852	0
856	692	557	852	692	1
692	557	852	692	596	2
557	852	692	596	805	0
852	692	596	805	697	1
692	596	805	697	716	2
596	805	697	716	704	0
805	697	716	704	720	0
697	716	704	720	727	0
716	704	720	727	456	0
704	720	727	456	1004	0
720	727	456	1004	723	1
727	456	1004	723	467	2
456	1004	723	467	992	0
1004	723	467	992	724	1
723	467	992	724	467	2
467	992	724	467	977	0
992	724	467	977	704	1
724	467	977	704	479	2
467	977	704	479	961	0
977	704	479	961	712	1
704	479	961	712	475	2
479	961	712	475	937	0
961	712	475	937	705	1
712	475	937	705	482	2
475	937	705	482	930	0
937	705	482	930	700	1
705	482	930	700	487	2
482	930	700	487	934	0
930	700	487	934	708	1
700	487	934	708	486	2
487	934	708	486	926	0
934	708	486	926	697	1
708	486	926	697	502	2
486	926	697	502	895	0
926	697	502	895	696	1
697	502	895	696	522	2
502	895	696	522	887	0
895	696	522	887	692	1
696	522	887	692	502	2
522	887	692	502	919	0
887	692	502	919	708	1
692	502	919	708	494	2
502	919	708	494	926	0
919	708	494	926	712	1
708	494	926	712	486	2
494	926	712	486	930	0
926	712	486	930	701	1
712	486	930	701	498	2
486	930	701	498	914	0
930	701	498	914	704	1
701	498	914	704	506	2
498	914	704	506	899	0
914	704	506	899	704	1
704	506	899	704	491	2
506	899	704	491	918	0
899	704	491	918	696	1
704	491	918	696	506	2
491	918	696	506	907	0
918	696	506	907	704	1
696	506	907	704	506	2
506	907	704	506	911	0
907	704	506	911	696	1
704	506	911	696	490	2
506	911	696	490	930	0
911	696	490	930	705	1
696	490	930	705	490	2
490	930	705	490	918	0
930	705	490	918	697	1
705	490	918	697	513	2
490	918	697	513	883	0
918	697	513	883	685	1
697	513	883	685	530	2
513	883	685	530	856	0
883	685	530	856	700	1
685	530	856	700	560	2
530	856	700	560	876	0
856	700	560	876	700	1
700	560	876	700	557	2
560	876	700	557	902	0
876	700	557	902	728	1
700	557	902	728	498	2
557	902	728	498	945	0
902	728	498	945	716	1
728	498	945	716	483	2
498	945	716	483	957	0
945	716	483	957	720	1
716	483	957	720	704	2
483	957	720	704	728	0
957	720	704	728	724	0
720	704	728	724	505	0
